,Unnamed: 0,Extraction_date,Reference,Category,Name,Address,Size,Size_prefix,Nbr_of_rooms,Nbr_of_baths,Price,Description,URL
1096,2286,2018-07-16T12:23:01,2776091,Appartement,Appartement s plus 2 gremda km 2,"Tunisie,Sfax,Sfax Ville,Sfax",100,m²,3.0,,500.0,"a louer un appartement haut standing en 2ème étage composé d'un salon, 2 chambres, une cuisine avec séchoir, une salle de bain.     - immeuble outour gremda (2011-2012)   - double ascenseurs   -chauffage central à gaz de ville dans toutes les pièces, chaudière installée.   - menuiserie aluminium.  - climatisation pré-installée .  500 dt par mois   frais de syndic : 30 /mois    pour visite et plus d'info contacter le 24 454 532",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2776091
1097,2290,2018-07-16T12:22:50,2824717,Appartement,Appart s1 réf ble124,"Tunisie,Nabeul,Hammamet,Cite Afh",68,m²,2.0,,130.0,"réf ble124    notre agence met a votre disposition un appartement s+1 à louer pour la saison estivale situé dans une résidence calme et avec piscine à afh mrezga.    ll est composé dans sa partie jour, d'un salon meublé et d'une cuisine bien équipée.  la partie nuit se compose d'une chambre à coucher et une salle d'eau.    » équipements  climatisation  dressing    prix : 130dt la nuit  le prix est négociable selon la durée du séjour    pour plus d'informations veuillez contacter notre agence  contact : 21174968 - 72287177",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2824717
1098,2292,2018-07-16T12:22:45,2751654,Maison,Usage bureautique,"Tunisie,Ben arous,Nouvelle Medina,Nouvelle Medina",80,m²,,,550.0,"à louer un local de 80m² sise à la nouvelle medina 2,ce dernier est composé de deux parties séparé par une porte en aluminium ,avec une salle d'eau , une kitchinette avec gaz du ville,une mezzanine pour stockage et un espace de rangement libre.  un climatiseur est déjà installé.  20 ans d'activité commerciale  type de location demandée :  **studio (habitat pour couple)  **depot (stockage)   ** secteur prive : kinésithérapeutes ,médecins,dentistes,avocats,comptables,ingénieurs .....)  vous êtes les bienvenus à tout moment.",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2751654
1099,2295,2018-07-16T12:22:33,2813546,Appartement,Appartement ht st avec vue mer,"Tunisie,Tunis,La Marsa,Marsa Safsaf",170,m²,4.0,,2800.0,"a louer un appartement à la marsa plage avec vue mer, très haut standing, comprenant un grand salon salle à manger donnant sur une terrasse, une salle d'eau, une cuisine équipée de hotte, four, plaque et donnant sur séchoir, une suite parentale avec dressing et salle de bain, 2 chambres à coucher avec une deuxième salle de bain, dressings tout au long du couloir, chauffage central, climatisation centrale, ascenseurs. place de parking au sous-sol.  l'appartement est à proximité de toutes les commodités (marché, monoprix, café, restaurant..)  libre à partir du mois d?août.",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2813546
1100,2297,2018-07-16T12:22:29,2816106,Appartement,Un apparttement  s1 ref alz3348,"Tunisie,Tunis,Ain Zaghouan,Ain Zaghouan",,m²,1.0,,600.0,"la croisette immobilière vous propose :     ref: alz3348     a louer à ain zaghouan nord un appartement s+1 au 1er étage dans une résidence privée sans ascenseur, il se compose d?un salon salle à manger, une cuisine agencée avec séchoir, une chambre à coucher avec dressing, une sdb .",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2816106
1101,2300,2018-07-16T12:22:24,2611392,Appartement,Bur 7 pièces de ht standing,"Tunisie,Tunis,La Marsa,Berge Du Lac",217,m²,5.0,,4400.0,"a louer au lac1 dans un immeuble a usage professionnelle, endroit idéal, un bureau de haut standing qui se compose de 6 pièces,réception, une salle de réunion, deux salle d'eau, une kitchenette.  climatisation et chauffage centrale  une place de parking au sous-sol  pour visité merci de nous contactez au 23 371 342 ou 54 807 407",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2611392
1102,2303,2018-07-16T12:22:16,2807353,Appartement,App s plus,"Tunisie,Manouba,Mannouba,La Mannouba",120,m²,4.0,,600.0,"votre agence immobilière dream house manouba vous propose un appartement spacieux, 4éme étage, à manouba, complex saida, prés de tt commodités( steg, télecom, magasin, lycée, station métro). composé de :   salon + 3 chambres à coucher + cuisine équipée + sdb + séchoir   loyer mensuel : 600 dt / mois   n'hésitez pas de nous contactez:   20 dt frais de visite et 5% commission du logement annuelle   tel :52344101 / 93021179 / 70605867   adresse : avenue l'uma manouba centre",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2807353
1103,2304,2018-07-16T12:22:11,2831921,Appartement,S plus 4 1er etage,"Tunisie,Ben arous,Nouvelle Medina,Nouvelle Medina",,m²,4.0,,500.0,agence immo met en location un local   s+4 1er etage   pour plus d'information contacter : 29 799 366,http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2831921
1104,2305,2018-07-16T12:22:06,2434864,Appartement,Luxueux appartement richement meublé,"Tunisie,Tunis,La Marsa,Berge Du Lac",200,m²,4.0,,4000.0,"lac ii , dans un bel immeuble , mettons à la location un bel appartement richement meublé qui se compose d'un beau salon , salle à manger qui donne sur une belle terrasse ayant une belle vue .  une salle d'eau invité et une cuisine entièrement équipée   partie nuit : une suite parentale , deux chambres a coucher et une salle de bain commune .  l'appartement est équipée de chaiffage centrale , climatisation centrale   pour visiter merci de contacter notre agence sur le 58911217 ou le 25121117",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2434864
1105,2306,2018-07-16T12:22:01,2819868,Appartement,Appartement climatisé et meublé,"Tunisie,Sousse,Sousse Jaouhara,Sahloul",80,m²,2.0,,100.0,à louer un appartement s+1 meublé et climatisé à sahloul  loyer par nuitée 60 dinars  pour plus d'infos veuillez contacter mr atallah 94 340 222/mlle moufida 52 184 433,http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2819868
1106,2309,2018-07-16T12:21:53,2783544,Appartement,Un petit bureau meublé avec sanitaire,"Tunisie,Tunis,La Marsa,Berge Du Lac",10,m²,1.0,,450.0,"a louer un bureau meublé comprenant une pièce de 12 m2, avec sanitaire et kitchenette, ascenseur.",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2783544
1107,2311,2018-07-16T12:21:49,2827140,Appartement,Grand appart front du lac,"Tunisie,Tunis,La Marsa,Berge Du Lac",280,m²,4.0,,4000.0,"mettons a la location au lac 1 dans une petite résidence au première position e la corniche, un appartement de haut standing qui se compose comme suit d'un grand salon avec des bi-vitrée offrant une vue imprenable sur lac,une suite parentale vue sur lac,  deux chambres a coucher, une salle de bain commune, une cuisine équipé, et une salle d'eau invités.  une place de parking au sous s-sol  vide: 4000dt/mois  meublé :4500dt/mois  pour plus de détails merci de nous contactez au  54 807 407 ou  23 371 342",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2827140
